YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2023,06037463000,Census Tract 4630,Pasadena,Los Angeles County,California,Pasadena,529,135,58,53,0,14,14,21,0,14,0,14,12,22,32,45,189,104,12,18,57,66,42,54,0,14,78,66,0,14,222,112,43,41,34,34,40,43,0,14,105,90,0,14,60,43,16,19,0,14,24,33,0,14,20,23,0,14
2023,06037463103,Census Tract 4631.03,Pasadena,Los Angeles County,California,Pasadena,557,164,0,19,0,19,0,19,0,19,0,19,0,19,0,19,129,69,34,42,22,28,6,10,15,26,52,40,0,19,355,136,70,46,40,29,69,101,0,19,163,99,13,21,73,46,0,19,0,19,0,19,0,19,54,40,19,25
2023,06037463200,Census Tract 4632,Pasadena,Los Angeles County,California,Pasadena,638,143,0,14,0,14,0,14,0,14,0,14,0,14,0,14,61,37,11,17,0,14,23,27,0,14,27,25,0,14,408,130,96,57,12,18,24,29,21,24,204,118,51,52,169,68,23,22,22,27,9,13,14,22,83,59,18,21
2023,06037463400,Census Tract 4634,Pasadena,Los Angeles County,California,Pasadena,1387,251,19,29,0,19,0,19,0,19,0,19,19,29,0,19,379,147,104,75,104,82,0,19,26,34,145,110,0,19,879,247,347,155,162,121,0,19,16,28,339,175,15,26,110,86,34,55,0,19,0,19,33,37,43,41,0,19
2023,06037463500,Census Tract 4635,Pasadena,Los Angeles County,California,Pasadena,1858,224,216,90,7,12,11,18,18,24,22,35,133,74,25,41,657,196,231,127,88,78,55,46,66,53,204,109,13,19,768,210,275,121,101,85,41,40,36,50,302,151,13,20,217,157,31,48,71,113,0,19,17,30,98,116,0,19
2023,06037463601,Census Tract 4636.01,Pasadena,Los Angeles County,California,Pasadena,2864,339,217,111,15,24,0,19,14,22,14,22,135,91,39,63,916,235,266,147,132,118,86,60,42,44,297,156,93,120,1282,288,162,88,225,117,317,192,192,131,351,163,35,51,449,191,14,22,30,34,86,106,63,101,90,60,166,144
2023,06037463602,Census Tract 4636.02,Pasadena,Los Angeles County,California,Pasadena,2780,421,117,95,0,19,18,28,0,19,0,19,70,76,29,49,735,218,172,115,53,51,76,62,149,120,220,153,65,78,1402,461,466,185,324,352,149,139,81,72,356,155,26,38,526,176,78,82,0,19,162,103,33,36,204,131,49,58
2023,06037463700,Census Tract 4637,Pasadena,Los Angeles County,California,Pasadena,1192,227,77,70,0,14,0,14,0,14,30,47,0,14,47,57,284,98,54,45,72,51,19,28,11,17,118,68,10,21,681,176,213,118,172,98,159,101,39,35,98,69,0,14,150,65,54,46,47,34,9,14,0,14,40,36,0,14
2023,06037463800,Census Tract 4638,Pasadena,Los Angeles County,California,Pasadena,168,81,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,131,67,11,16,7,11,51,41,0,14,62,53,0,14,37,48,9,14,0,14,0,14,0,14,0,14,28,45
2023,06037463900,Census Tract 4639,Pasadena,Los Angeles County,California,Pasadena,709,132,18,29,18,29,0,14,0,14,0,14,0,14,0,14,179,91,65,61,42,40,32,46,0,14,40,49,0,14,355,118,18,18,56,58,9,14,66,46,188,97,18,30,157,57,25,26,8,13,18,20,8,12,84,45,14,17
2023,06037464000,Census Tract 4640,Pasadena,Los Angeles County,California,Pasadena,923,243,0,19,0,19,0,19,0,19,0,19,0,19,0,19,271,123,42,43,96,98,24,30,55,55,27,32,27,40,460,168,86,56,106,88,155,127,28,45,44,49,41,50,192,132,0,19,11,17,35,53,0,19,77,83,69,87
2023,06037800410,Census Tract 8004.10,Pepperdine University,Los Angeles County,California,PepperdineUniversity,109,56,0,14,0,14,0,14,0,14,0,14,0,14,0,14,8,13,0,14,0,14,0,14,0,14,8,13,0,14,50,27,16,13,9,13,9,15,0,14,16,18,0,14,51,48,6,10,0,14,0,14,0,14,20,33,25,31
2023,06037500300,Census Tract 5003,Pico Rivera,Los Angeles County,California,PicoRivera,172,78,0,14,0,14,0,14,0,14,0,14,0,14,0,14,35,35,16,24,0,14,0,14,0,14,19,29,0,14,109,74,23,24,8,13,0,14,0,14,46,56,32,38,28,30,0,14,0,14,0,14,18,26,10,16,0,14
2023,06037500402,Census Tract 5004.02,Pico Rivera,Los Angeles County,California,PicoRivera,612,120,86,86,40,65,0,14,0,14,0,14,46,51,0,14,29,46,0,14,0,14,0,14,0,14,29,46,0,14,366,99,106,64,0,14,19,29,31,37,154,89,56,56,131,71,0,14,0,14,0,14,5,10,93,64,33,40
2023,06037500403,Census Tract 5004.03,Pico Rivera,Los Angeles County,California,PicoRivera,20,24,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,20,24,11,19,0,14,0,14,0,14,9,17,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2023,06037500404,Census Tract 5004.04,Pico Rivera,Los Angeles County,California,PicoRivera,237,86,0,14,0,14,0,14,0,14,0,14,0,14,0,14,27,43,0,14,0,14,0,14,0,14,27,43,0,14,178,82,67,57,0,14,38,47,0,14,73,61,0,14,32,37,0,14,0,14,0,14,0,14,27,36,5,8
2023,06037500500,Census Tract 5005,Pico Rivera,Los Angeles County,California,PicoRivera,301,93,24,39,0,14,0,14,0,14,0,14,24,39,0,14,31,31,25,29,6,11,0,14,0,14,0,14,0,14,172,68,11,12,0,14,42,38,0,14,54,48,65,44,74,46,0,14,0,14,6,10,0,14,51,44,17,26
